"Star2","Mean(Avg_mode_power)"
1,339.3333333333333
1.5,304.3
2,273.4506451612903
2.5,219.3884303797469
3,188.43839999999994
3.5,164.28076724137912
4,134.35711284046678
4.5,119.01979539295392
5,106.97579204892976
5.5,97.57483777448071
6,79.43892412060296
7,67.87265882352939
8,39.70333333333334
